title,body,labels,milestone
[E0-1] Definir el modelo de datos completo en MongoDB,"**Trazabilidad:** —

**Epico:** E0

Colecciones minimas: sedes, carreras, planesEstudio, asignaturas, periodos, usuarios, docentes, estudiantes, matriculas, secciones, bloquesHorarios, inscripciones, historialAcademico. BLOQUEA TODO EL PROYECTO: nada arranca hasta cerrar esto. planesEstudio debe estar versionado desde el dia uno.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E0,modelo-datos",Sprint 1
"[E0-2] Armar estructura del repo: /frontend, /backend, /db","**Trazabilidad:** —

**Epico:** E0

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E0,docs",Sprint 1
[E0-3] Configurar variables de entorno y conexion a MongoDB,"**Trazabilidad:** —

**Epico:** E0

La cadena de conexion de Atlas lleva la password adentro. Va en .env con .env en .gitignore. Si entra al historial de git, borrarla despues no sirve: hay que rotar la credencial.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E0,backend",Sprint 1
"[E0-4] Generar dataset de prueba (3 sedes, 4 carreras, 2 planes, 40 asignaturas, 20 docentes, 200 alumnos, 2 periodos)","**Trazabilidad:** —

**Epico:** E0

Sembrar tambien historialAcademico con asignaturas aprobadas, o los prerrequisitos no se pueden probar.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E0,modelo-datos",Sprint 1
[E0-5] Definir convenciones de API REST y formato de respuesta de error,"**Trazabilidad:** —

**Epico:** E0

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E0,docs",Sprint 1
"[E1-1] Wireframe: login, recuperar clave, cambio de clave inicial","**Trazabilidad:** RF1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,wireframe",Sprint 1
[E1-2] Wireframe: listado de usuarios con filtro por perfil y estado,"**Trazabilidad:** RF1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,wireframe",Sprint 1
[E1-3] Wireframe: alta de usuario con campos condicionales segun perfil,"**Trazabilidad:** RF1

**Epico:** E1

Una sola pantalla. El perfil es un select que muestra u oculta campos.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,wireframe",Sprint 1
[E1-4] Wireframe: matriz de permisos por perfil,"**Trazabilidad:** RF1

**Epico:** E1

Cuatro perfiles: Administrador, Coordinador Academico, Docente, Estudiante. El Coordinador administra estructura y oferta; el Administrador mantiene usuarios y parametros.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,wireframe",Sprint 1
[E1-5] Backend: registro y login con hash de contrasena + JWT,"**Trazabilidad:** RF1 / CU1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,backend",Sprint 1
[E1-6] Backend: middleware de control de acceso por rol,"**Trazabilidad:** RF1 / CU1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,backend",Sprint 1
